imageRescaling;cap;name;testAccuracy

0.000000;0.000000;pattern_50_20;0.953492

0.000000;0.000000;pattern_20_15;0.931905

0.000000;0.000000;pattern_20_15;0.931905

0.000000;128.000000;pattern_20_15;0.802857

0.000000;160.000000;pattern_20_15;0.851111

1.000000;0.000000;pattern_20_15;0.905556

1.000000;128.000000;pattern_20_15;0.794762

1.000000;160.000000;pattern_20_15;0.849524

0.000000;0.000000;pattern_20_15;0.931905

0.000000;128.000000;pattern_20_15;0.802857

1.000000;0.000000;pattern_20_15;0.920952

1.000000;128.000000;pattern_20_15;0.766984

0.000000;0.000000;pattern_500_300_200 200 200;0.967778

0.000000;0.000000;pattern_500_300_200 200 200;NaN
